SEASON,TEAM_NAME,LABEL
2016-17,Golden State Warriors,16
2016-17,Cleveland Cavaliers,8
2016-17,San Antonio Spurs,4
2016-17,Boston Celtics,4
2016-17,Houston Rockets,2
2016-17,Washington Wizards,2
2016-17,Toronto Raptors,2
2016-17,Utah Jazz,2
2016-17,Chicago Bulls,1
2016-17,Indiana Pacers,1
2016-17,Milwaukee Bucks,1
2016-17,Atlanta Hawks,1
2016-17,Memphis Grizzlies,1
2016-17,Oklahoma City Thunder,1
2016-17,Portland Trail Blazers,1
2016-17,Los Angeles Clippers,1
2016-17,Miami Heat,0
2016-17,Detroit Pistons,0
2016-17,Charlotte Hornets,0
2016-17,New York Knicks,0
2016-17,Philadelphia 76ers,0
2016-17,Orlando Magic,0
2016-17,Brooklyn Nets,0
2016-17,Denver Nuggets,0
2016-17,New Orleans Pelicans,0
2016-17,Dallas Mavericks,0
2016-17,Sacramento Kings,0
2016-17,Minnesota Timberwolves,0
2016-17,Phoenix Suns,0
2016-17,Los Angeles Lakers,0
2017-18,Golden State Warriors,16
2017-18,Cleveland Cavaliers,8
2017-18,Houston Rockets,4
2017-18,Boston Celtics,4
2017-18,Philadelphia 76ers,2
2017-18,New Orleans Pelicans,2
2017-18,Utah Jazz,2
2017-18,Toronto Raptors,2
2017-18,Indiana Pacers,1
2017-18,Milwaukee Bucks,1
2017-18,Miami Heat,1
2017-18,Washington Wizards,1
2017-18,Minnesota Timberwolves,1
2017-18,Oklahoma City Thunder,1
2017-18,Portland Trail Blazers,1
2017-18,San Antonio Spurs,1
2017-18,Detroit Pistons,0
2017-18,Charlotte Hornets,0
2017-18,New York Knicks,0
2017-18,Brooklyn Nets,0
2017-18,Chicago Bulls,0
2017-18,Orlando Magic,0
2017-18,Atlanta Hawks,0
2017-18,Denver Nuggets,0
2017-18,Los Angeles Clippers,0
2017-18,Los Angeles Lakers,0
2017-18,Sacramento Kings,0
2017-18,Dallas Mavericks,0
2017-18,Phoenix Suns,0
2017-18,Memphis Grizzlies,0
2018-19,Toronto Raptors,16
2018-19,Golden State Warriors,8
2018-19,Milwaukee Bucks,4
2018-19,Portland Trail Blazers,4
2018-19,Philadelphia 76ers,2
2018-19,Denver Nuggets,2
2018-19,Houston Rockets,2
2018-19,Boston Celtics,2
2018-19,Brooklyn Nets,1
2018-19,Indiana Pacers,1
2018-19,Orlando Magic,1
2018-19,Detroit Pistons,1
2018-19,Los Angeles Clippers,1
2018-19,Utah Jazz,1
2018-19,Oklahoma City Thunder,1
2018-19,San Antonio Spurs,1
2018-19,Charlotte Hornets,0
2018-19,Miami Heat,0
2018-19,Washington Wizards,0
2018-19,Atlanta Hawks,0
2018-19,Chicago Bulls,0
2018-19,New York Knicks,0
2018-19,Cleveland Cavaliers,0
2018-19,Sacramento Kings,0
2018-19,Los Angeles Lakers,0
2018-19,Minnesota Timberwolves,0
2018-19,New Orleans Pelicans,0
2018-19,Dallas Mavericks,0
2018-19,Phoenix Suns,0
2018-19,Memphis Grizzlies,0
2021-22,Golden State Warriors,16
2021-22,Boston Celtics,8
2021-22,Miami Heat,4
2021-22,Dallas Mavericks,4
2021-22,Milwaukee Bucks,2
2021-22,Phoenix Suns,2
2021-22,Memphis Grizzlies,2
2021-22,Philadelphia 76ers,2
2021-22,Toronto Raptors,1
2021-22,Chicago Bulls,1
2021-22,Minnesota Timberwolves,1
2021-22,Denver Nuggets,1
